"eid","afid","affil","city","country","n_collab_unis","collab_unis","address","latitude","longitude"
"2-s2.0-85179711052","60023256","Politecnico di Milano","Milan","Italy",2,"Politecnico di Milano | Università Bocconi","Politecnico di Milano, Milan, Italy",45.4790288,9.2322104
"2-s2.0-85179711052","60021796","Università Bocconi","Milan","Italy",2,"Politecnico di Milano | Università Bocconi","Università Bocconi, Milan, Italy",45.4498836,9.1892636
"2-s2.0-85174388802","60023256","Politecnico di Milano","Milan","Italy",2,"Politecnico di Milano | Università Bocconi","Politecnico di Milano, Milan, Italy",45.4790288,9.2322104
"2-s2.0-85174388802","60021796","Università Bocconi","Milan","Italy",2,"Politecnico di Milano | Università Bocconi","Università Bocconi, Milan, Italy",45.4498836,9.1892636
"2-s2.0-85174201513","60024053","Università Cattolica del Sacro Cuore","Milan","Italy",2,"Università Bocconi | Università Cattolica del Sacro Cuore","Università Cattolica del Sacro Cuore, Milan, Italy",45.4618543,9.1770563
"2-s2.0-85174201513","60021796","Università Bocconi","Milan","Italy",2,"Università Bocconi | Università Cattolica del Sacro Cuore","Università Bocconi, Milan, Italy",45.4498836,9.1892636
"2-s2.0-85173024508","60023256","Politecnico di Milano","Milan","Italy",2,"Politecnico di Milano | Università Cattolica del Sacro Cuore","Politecnico di Milano, Milan, Italy",45.4790288,9.2322104
"2-s2.0-85173024508","60024053","Università Cattolica del Sacro Cuore","Milan","Italy",2,"Politecnico di Milano | Università Cattolica del Sacro Cuore","Università Cattolica del Sacro Cuore, Milan, Italy",45.4618543,9.1770563
"2-s2.0-85166380478","60023256","Politecnico di Milano","Milan","Italy",2,"Politecnico di Milano | Università Cattolica del Sacro Cuore","Politecnico di Milano, Milan, Italy",45.4790288,9.2322104
"2-s2.0-85166380478","60024053","Università Cattolica del Sacro Cuore","Milan","Italy",2,"Politecnico di Milano | Università Cattolica del Sacro Cuore","Università Cattolica del Sacro Cuore, Milan, Italy",45.4618543,9.1770563
"2-s2.0-85150979630","60023256","Politecnico di Milano","Milan","Italy",3,"Politecnico di Milano | Università Bocconi | Università Cattolica del Sacro Cuore","Politecnico di Milano, Milan, Italy",45.4790288,9.2322104
"2-s2.0-85150979630","60024053","Università Cattolica del Sacro Cuore","Milan","Italy",3,"Politecnico di Milano | Università Bocconi | Università Cattolica del Sacro Cuore","Università Cattolica del Sacro Cuore, Milan, Italy",45.4618543,9.1770563
"2-s2.0-85150979630","60021796","Università Bocconi","Milan","Italy",3,"Politecnico di Milano | Università Bocconi | Università Cattolica del Sacro Cuore","Università Bocconi, Milan, Italy",45.4498836,9.1892636
"2-s2.0-85147280192","60024053","Università Cattolica del Sacro Cuore","Milan","Italy",2,"Università Bocconi | Università Cattolica del Sacro Cuore","Università Cattolica del Sacro Cuore, Milan, Italy",45.4618543,9.1770563
"2-s2.0-85147280192","60021796","Università Bocconi","Milan","Italy",2,"Università Bocconi | Università Cattolica del Sacro Cuore","Università Bocconi, Milan, Italy",45.4498836,9.1892636
"2-s2.0-85143690291","60023256","Politecnico di Milano","Milan","Italy",2,"Politecnico di Milano | Università Bocconi","Politecnico di Milano, Milan, Italy",45.4790288,9.2322104
"2-s2.0-85143690291","60021796","Università Bocconi","Milan","Italy",2,"Politecnico di Milano | Università Bocconi","Università Bocconi, Milan, Italy",45.4498836,9.1892636
"2-s2.0-85142130276","60023256","Politecnico di Milano","Milan","Italy",2,"Politecnico di Milano | Università Bocconi","Politecnico di Milano, Milan, Italy",45.4790288,9.2322104
"2-s2.0-85142130276","60021796","Università Bocconi","Milan","Italy",2,"Politecnico di Milano | Università Bocconi","Università Bocconi, Milan, Italy",45.4498836,9.1892636
"2-s2.0-85136704648","60023256","Politecnico di Milano","Milan","Italy",2,"Politecnico di Milano | Università Cattolica del Sacro Cuore","Politecnico di Milano, Milan, Italy",45.4790288,9.2322104
"2-s2.0-85136704648","60024053","Università Cattolica del Sacro Cuore","Milan","Italy",2,"Politecnico di Milano | Università Cattolica del Sacro Cuore","Università Cattolica del Sacro Cuore, Milan, Italy",45.4618543,9.1770563
